Tool / Resource,Category,Software / Resource link,Purpose
ResFinder,Antimicrobial resistance,https://bitbucket.org/genomicepidemiology/resfinder,DTU AMR gene detection with phenotype prediction (ResFinder4).
RGI / CARD,Antimicrobial resistance,https://github.com/arpcard/rgi,Resistance Gene Identifier searches CARD's curated AMR ontology and homologs.
deepARG,Antimicrobial resistance,https://github.com/gaarangoa/deeparg,Deep-learning ARG classifier for divergent resistance genes.
AMR++,Antimicrobial resistance,https://github.com/Microbial-Ecology-Group/AMRplusplus,Pipeline for profiling antimicrobial resistance genes in metagenomic sequencing data.
AMRFinderPlus,Antimicrobial resistance,https://github.com/ncbi/amr,NCBI-maintained AMR + virulence gene detection from genomes and proteins.
hAMRonization,Antimicrobial resistance,https://github.com/pha4ge/hAMRonization,Harmonises outputs from multiple AMR detection tools into a common schema.
Staramr,Antimicrobial resistance,https://github.com/phac-nml/staramr,"Scans bacterial genomes for AMR genes, point mutations and plasmid replicons."
ABRicate,Antimicrobial resistance,https://github.com/tseemann/abricate,"Mass screening of contigs against multiple AMR DBs (CARD, ResFinder, NCBI, etc.)."
ARGs-OAP,Antimicrobial resistance,https://github.com/xinehc/args_oap,Online and offline ARG profiling from metagenomic reads.
ARIBA,Antimicrobial resistance,https://github.com/sanger-pathogens/ariba,Antimicrobial Resistance Identification By Assembly
MetaQUAST,Assembly,https://github.com/ablab/quast,Quality assessment of metagenomic assemblies.
metaSPAdes,Assembly,https://github.com/ablab/spades,SPAdes mode for metagenomic assembly with repeat resolution and bubble handling.
OPERA-MS,Assembly,https://github.com/CSB5/OPERA-MS,Hybrid metagenomic assembler for short and long reads.
metaFlye,Assembly,https://github.com/fenderglass/Flye,Flye assembler in metagenomic mode for long-read (ONT/PacBio) data.
metaMDBG,Assembly,https://github.com/GaetanBenoitDev/metaMDBG,Long-read metagenome assembler using minimizer de Bruijn graphs.
IDBA-UD,Assembly,https://github.com/loneknightpy/idba,Iterative de Bruijn assembler for metagenomic data with uneven depth.
PenguiN,Assembly,https://github.com/soedinglab/plass,Protein-guided nucleotide assembler emphasising recovery of coding regions and viral sequences.
MEGAHIT,Assembly,https://github.com/voutcn/megahit,Memory-efficient de Bruijn graph assembler for large metagenomes.
hifiasm-meta,Assembly,https://github.com/xfengnefx/hifiasm-meta,HiFi-specific haplotype-resolved metagenomic assembler.
PLSDAbatch,Batch correction,https://bioconductor.org/packages/PLSDAbatch,Multivariate PLS-DA based framework for batch-effect correction in microbiome data.
ConQuR,Batch correction,https://github.com/wdl2459/ConQuR,Batch correction
CAMISIM,Benchmarking / simulation,https://github.com/CAMI-challenge/CAMISIM,Simulation framework for metagenomic benchmarking with realistic communities.
InSilicoSeq,Benchmarking / simulation,https://github.com/HadrienG/InSilicoSeq,Illumina metagenomic read simulator with empirical error models.
AMPSphere,BGCs / natural products / AMPs,https://ampsphere.big-data-biology.org/,Atlas of antimicrobial peptides from global metagenomes.
ARTS,BGCs / natural products / AMPs,https://arts.ziemertlab.com/,Antibiotic Resistant Target Seeker finds resistance-linked BGCs.
BGC Atlas,BGCs / natural products / AMPs,https://bgc-atlas.cs.uni-duesseldorf.de/,Atlas of BGCs from MAGs across diverse environments.
antiSMASH,BGCs / natural products / AMPs,https://github.com/antismash/antismash,Gold-standard rule-based BGC identification and annotation.
BiG-SLiCE,BGCs / natural products / AMPs,https://github.com/medema-group/bigslice,Clustering of millions of BGCs into Gene Cluster Families (GCFs) at scale.
